episode,step,reward
684,458018,231.73521205773017
685,458819,231.73032242031232
686,459386,232.09437261678187
687,460173,232.02451751512507
688,460980,231.99230078233217
689,461762,234.61136385137692
690,462501,237.35089806246285
691,463255,237.394902505964
692,464038,237.30952097986156
693,464810,237.30973641313622
694,465584,237.3634268114794
695,466336,237.40842709242918
696,467128,239.45609640242506
697,467964,239.40928373094124
698,468779,239.33271689807913
699,469620,239.28843807186945
700,470429,239.30140348024685
701,471237,242.00203070996383
702,471958,244.93858591252447
703,472685,246.91808032477823
704,473479,248.17633767840616
705,474239,248.17881521650324
706,475000,248.18977191910042
707,475614,246.49504645864596
708,476366,246.46895542884408
709,477145,246.42919399737326
710,477954,246.3612711128089
711,478718,246.40309124922004
712,479464,246.43480421824995
713,480258,249.05034062707142
714,481045,249.03564830317234
715,481837,249.02156977042046
716,482597,249.05383896616257
717,483377,252.35398037151245
718,484219,252.30468925992417
719,485023,252.30021859118796
720,485945,252.1842421049888
721,486790,254.50086732283006
722,487665,257.2289430196244
723,488484,259.43281640713826
724,489285,264.2373269767799
725,490127,264.2412293049072
726,490922,268.99851262470287
727,491523,271.8491434651063
728,492304,276.6689056309962
729,492887,279.37597327553544
730,493663,284.18379933697963
731,494480,285.65717482169845
732,495318,285.6572489515504
733,496114,285.62632105061607
734,496900,285.63558536672247
735,497674,288.00303282636673
736,498442,287.9690448089847
737,499193,288.0001353746903
738,499531,285.1385810766186
739,500300,285.16844678207866
740,501072,285.202342092008
741,501844,285.25032953374335
742,502659,285.3290548108101
743,503517,285.3307177928274
744,504292,285.41035646164823
745,505050,285.50802625292
746,505394,282.68866428977
747,505746,279.8005082144957
748,506601,279.82217960668436
749,507453,282.16478621138873
750,508380,282.25084438198684
751,509224,282.26006648440364
752,510052,282.2442913259897
753,510832,282.260939048144
754,511704,282.1808921994327
755,512488,282.2077086937568
756,513250,282.29282145155923
757,514022,281.0542176875934
758,514846,282.97571761190363
759,515626,285.07185538518615
760,516385,288.5302861775099
761,517189,288.49021489155547
762,517952,288.5033799714255
763,518784,288.4695152437935
764,519561,288.4945596751111
765,520360,288.47942167290466
766,521161,288.383137765432
767,521234,284.3490568405969
768,522028,284.33179261287677
769,522828,284.28370213792675
770,523477,282.5567593463045
771,524277,282.6379367880957
772,525051,282.6839795452361
773,525837,282.66668803596053
774,526585,282.6907944168231
775,527351,282.7906455826545
776,528139,282.799901033135
777,528929,282.8915122106684
778,529809,282.8475838058909
779,530584,282.879343031397
780,531353,282.8912664414585
781,532213,282.91775847411094
782,533057,282.92768961517635
783,533828,282.92558144263467
784,534647,282.8773919391361
785,535518,282.8406850662566
786,536380,284.86666168160167
787,537188,284.9377374130457
788,538178,284.9331363386436
789,539061,284.9829598249982
790,539834,284.9586868783565
791,540605,284.96842742048875
792,540851,281.72223939472735
793,541602,281.8000464700252
794,542418,281.7852353953157
795,543165,281.8042390738448
796,543962,281.8347887908304
797,544698,281.8767727131792
798,545015,278.93545065749765
799,545834,278.9936088895581
800,546609,279.0756347959674
801,546701,275.11303614600877
802,547470,275.0871797898129
803,547707,271.74312958087154
804,548508,271.7598730364968
805,549006,269.6099887534668
806,549806,269.6271837681879
807,550578,271.2880049952272
808,551399,271.2962466326592
809,551845,268.8272919890497
810,552585,267.73298133023667
811,553444,267.6623210814377
812,553891,265.1785311108981
813,554766,265.17264929542756
814,555558,265.1107821801025
815,556342,265.09607157586765
816,557100,265.0701180123741
817,557999,264.9604127583774
818,558764,265.00359989876
819,559536,265.00590159691336
820,560268,265.1479807364796
821,561029,265.17423962144574
822,561791,265.2626070476995
823,562613,265.3390372475811
824,563396,265.4184801514997
825,564162,265.46707385939146
826,564927,265.5207302203966
827,565709,267.32092971212717
828,566476,267.3495149436654
829,567226,269.27387423556695
830,568010,269.27119796279504
831,568774,269.2700113474842
832,569514,269.33683878258194
833,570295,268.28488311313004
834,571056,268.3241058934988
835,571858,268.3530627480585
836,572689,268.323156337683
837,573493,268.26261211049973
838,574268,271.1151778624744
839,575057,271.05449402010146
840,575808,271.071649889274
841,576556,271.0588778574816
842,577362,271.0279986147648
843,578125,271.0707495198828
844,578955,271.0012490943565
845,579741,270.9843908623567
846,580593,273.82130859488205
847,581382,276.75899224794387
848,582127,276.773626371523
849,582906,276.80435353280683
850,583675,276.8545655605166
851,584522,276.89913279827215
852,585314,277.022564192763
853,586074,277.1220130933041
854,586871,277.25500112282634
855,587668,277.29389602385777
856,588445,277.3258355773864
857,588994,276.5640115114063
858,589753,276.64019711674564
859,590530,276.671209729107
860,591335,276.71431619038475
861,592169,276.72792817743283
862,592906,276.74552676419415
863,593685,276.7739632359728
864,594419,276.8178122678045
